price,region,address,bedrooms,bathrooms
999000,"Ajax, ON","16 BROCKMAN CRES, Ajax, Ontario",3,3
788888,"Ajax, ON",Address not available,3,3
549000,"Ajax, ON","#905 -44 FALBY CRT, Ajax, Ontario",2,2
999000,"Ajax, ON","113 WARNFORD CIRC, Ajax, Ontario",4,3
2249000,"Ajax, ON","44 WILLIAMSON DR W, Ajax, Ontario",4,5
1199999,"Ajax, ON","53 TAVERNER CRES, Ajax, Ontario",3,3
788888,"Ajax, ON","30 ABELA LANE, Ajax, Ontario",3,3
899999,"Ajax, ON","31 TRESHER CRT, Ajax, Ontario",3,3
1099000,"Ajax, ON","82 REED DR, Ajax, Ontario",4,3
1149900,"Ajax, ON","69 MANDRAKE ST, Ajax, Ontario",3,4
999000,"Ajax, ON","30 ALDONSCHOOL CRT, Ajax, Ontario",3,3
1000000,"Ajax, ON","15 SHERWOOD RD W, Ajax, Ontario",3,2
699000,"Ajax, ON","20 CLOWES Street, Ajax, Ontario",2,3
699000,"Ajax, ON","20 CLOWES ST, Ajax, Ontario",2,3
1099999,"Ajax, ON","78 LARGE CRES, Ajax, Ontario",4,3
1549888,"Ajax, ON","11 REDMOND DR, Ajax, Ontario",4,3
899777,"Ajax, ON","63 DEVINERIDGE AVE, Ajax, Ontario",3,3
1099000,"Ajax, ON","136 GOSS LANE, Ajax, Ontario",4,3
1699900,"Ajax, ON","10 MCALPINE AVE, Ajax, Ontario",4,5
1149000,"Ajax, ON","79 HURLEY RD, Ajax, Ontario",3,2
1099000,"Ajax, ON","79 MARJORAM DR, Ajax, Ontario",4,3
899900,"Ajax, ON","144 CHATFIELD DR, Ajax, Ontario",3,3
1299900,"Ajax, ON","1127 CHURCH ST N, Ajax, Ontario",3,3
909888,"Ajax, ON","88 VENTURA LANE, Ajax, Ontario",3,3
1800000,"Ajax, ON","23 AINSBURY AVE, Ajax, Ontario",5,5
699999,"Ajax, ON","1 ONTARIO ST, Ajax, Ontario",3,1
999000,"Ajax, ON","0 CUNLIFFE LANE, Ajax, Ontario",4,4
1486000,"Ajax, ON","1177 CHURCH ST N, Ajax, Ontario",4,4
1100000,"Ajax, ON","56 MARSHALL CRES, Ajax, Ontario",3,3
1349800,"Ajax, ON","L70 COPPINI LANE, Ajax, Ontario",3,3
1200000,"Ajax, ON","0 NIMMO LANE N, Ajax, Ontario",3,3
3499000,"Ajax, ON","2405 AUDLEY RD, Ajax, Ontario",4,2
769000,"Clarington, ON","118 FERRIS SQ, Clarington, Ontario",3,4
999000,"Clarington, ON","104 KINGSWOOD DR, Clarington, Ontario",4,4
799000,"Clarington, ON","122 FIELDCREST AVE, Clarington, Ontario",3,4
