price,region,address,bedrooms,bathrooms
899777,0,"63 DEVINERIDGE AVE, Ajax, Ontario",3,3
1099000,0,"136 GOSS LANE, Ajax, Ontario",4,3
1699900,0,"10 MCALPINE AVE, Ajax, Ontario",4,5
1149000,0,"79 HURLEY RD, Ajax, Ontario",3,2
1099000,0,"79 MARJORAM DR, Ajax, Ontario",4,3
899900,0,"144 CHATFIELD DR, Ajax, Ontario",3,3
1299900,0,"1127 CHURCH ST N, Ajax, Ontario",3,3
909888,0,"88 VENTURA LANE, Ajax, Ontario",3,3
1800000,0,"23 AINSBURY AVE, Ajax, Ontario",5,5
699999,0,"1 ONTARIO ST, Ajax, Ontario",3,1
999000,0,"0 CUNLIFFE LANE, Ajax, Ontario",4,4
1486000,0,"1177 CHURCH ST N, Ajax, Ontario",4,4
1100000,0,"56 MARSHALL CRES, Ajax, Ontario",3,3
1349800,0,"L70 COPPINI LANE, Ajax, Ontario",3,3
1200000,0,"0 NIMMO LANE N, Ajax, Ontario",3,3
3499000,0,"2405 AUDLEY RD, Ajax, Ontario",4,2
769000,8,"118 FERRIS SQ, Clarington, Ontario",3,4
999000,8,"104 KINGSWOOD DR, Clarington, Ontario",4,4
799000,8,"122 FIELDCREST AVE, Clarington, Ontario",3,4
549900,8,"#403 -84 ASPEN SPRINGS DR, Clarington, Ontario",2,2
649000,8,"35-37 ONTARIO ST, Clarington, Ontario",1,2
699900,8,"25 SECOND ST, Clarington, Ontario",3,2
749900,8,"57 MALLORY ST, Clarington, Ontario",2,3
799900,8,"120 MCFEETERS CRES, Clarington, Ontario",3,2
799000,8,"68 RICHARD DAVIES CRES, Clarington, Ontario",4,4
1199900,8,"91 JENNINGS DR, Clarington, Ontario",4,4
699900,8,"15 SOPER CRT, Clarington, Ontario",3,4
679000,8,"32 SANDRINGHAM DR, Clarington, Ontario",3,2
799900,8,"130 GEORGE ST E, Clarington, Ontario",3,3
699900,8,"300 SWINDELLS ST, Clarington, Ontario",3,3
799900,8,"89 SIDNEY RUNDLE AVE, Clarington, Ontario",3,4
969900,8,"104 JEROME WAY, Clarington, Ontario",3,3
599000,8,"104 ELGIN ST, Clarington, Ontario",3,1
988888,8,"9 SAUNDERS AVE, Clarington, Ontario",4,3
1150000,8,"35 WABBOKISH CRT, Clarington, Ontario",3,3
749900,8,"102 KING WILLIAM WAY, Clarington, Ontario",3,3
999999,8,"144 NELSON ST, Clarington, Ontario",4,3
774900,8,"67 CALE AVE, Clarington, Ontario",3,3
1099000,8,"51 PIPER CRES, Clarington, Ontario",3,4
699900,8,"31 NIDDERY ST, Clarington, Ontario",2,1
699900,8,"69 BLUFFS RD, Clarington, Ontario",2,2
799000,8,"19 YORKVILLE DR, Clarington, Ontario",2,3
899900,8,"27 CONNELL LANE, Clarington, Ontario",3,2
749900,8,"227 SPRUCEWOOD CRES, Clarington, Ontario",3,4
1080000,8,"42 WHITEHAND DR, Clarington, Ontario",4,4
1149900,8,"7 HENRY SMITH AVE, Clarington, Ontario",4,3
699999,8,"101 YORKVILLE DR, Clarington, Ontario",3,4
699999,8,"101 YORKVILLE Drive, Courtice, Ontario",3,4
1059000,8,"75 WILLIAM COWLES DR, Clarington, Ontario",3,4
399900,8,"35 WATER ST, Clarington, Ontario",1,1
1300000,8,"22 WILLIAM FAIR DR, Clarington, Ontario",4,3
699900,8,"112 LAKEVIEW RD, Clarington, Ontario",3,1
699999,8,"162 EDWARD ST W, Clarington, Ontario",3,2
1249000,8,"118 EDWIN CARR ST, Clarington, Ontario",3,3
1149000,8,"26 WILLOUGHBY PL, Clarington, Ontario",4,4
1099000,8,"30 SKINNER CRT, Clarington, Ontario",3,3
2195000,8,"6358 ENFIELD RD, Clarington, Ontario",4,3
878800,8,"23 ROSER CRES, Clarington, Ontario",4,3
899000,8,"63 SHORT CRES, Clarington, Ontario",3,3
399900,8,"8 KAWARTHA RD, Clarington, Ontario",2,2
799999,8,"54 FERRIS SQ, Clarington, Ontario",3,4
1750000,8,"123 COURTNEY ST, Clarington, Ontario",4,4
799900,8,"48 BROOKHOUSE DR, Clarington, Ontario",2,2
999999,8,"226 KENNETH COLE DR, Clarington, Ontario",4,4
999999,8,"226 KENNETH COLE Drive, Bowmanville, Ontario",4,4
799900,8,"19 PRESTONWAY DR, Clarington, Ontario",3,3
1399000,8,"99 MCPHAIL AVE, Clarington, Ontario",4,4
1049900,8,"68 WINDHAM CRES, Clarington, Ontario",3,4
998000,8,"48 LANDERVILLE LANE, Clarington, Ontario",4,3
899000,8,"46 DAISEYFIELD AVE, Clarington, Ontario",3,4
899900,8,"247 BEAVER ST N, Clarington, Ontario",3,2
799000,8,"72 HOBBS DR, Clarington, Ontario",3,2
1399000,8,"99 MCPHAIL Avenue, Bowmanville, Ontario",4,4
699900,8,"23 FIRWOOD AVE, Clarington, Ontario",3,4
849900,8,"94 COTTON ST, Clarington, Ontario",3,3
1450000,8,"234 CROMBIE ST, Clarington, Ontario",4,3
2299000,8,"5 BUTTERY CRT, Clarington, Ontario",3,4
799000,8,"10 WALBRIDGE CRT, Clarington, Ontario",3,3
850000,8,"17 SUMMERLEA CRT, Clarington, Ontario",5,3
785000,8,"571 LONGWORTH Avenue Unit# 24, Bowmanville, Ontario",3,2
798000,8,"1 LOANA LANE N, Clarington, Ontario",3,3
799999,8,"62 RICHARD DAVIES CRES, Clarington, Ontario",3,3
799888,8,"83 CRYDERMAN LANE, Clarington, Ontario",3,3
899000,8,"13 KINTYRE ST, Clarington, Ontario",3,3
749900,8,"69A TOWNLINE RD S, Clarington, Ontario",3,2
1760000,8,"139 YACHT DR, Clarington, Ontario",5,6
1499900,8,"46 KILPATRICK CRT, Clarington, Ontario",4,5
929000,8,"74 HIGH ST, Clarington, Ontario",3,2
1225000,8,"109 LYLE DR, Clarington, Ontario",2,2
1760000,8,"139 YACHT Drive, Bowmanville, Ontario",5,6
499900,8,"#29 -1430 GORD VINSON AVE, Clarington, Ontario",1,1
899900,8,"123 REMMINGTON ST, Clarington, Ontario",4,3
1599900,8,"3548 CONCESSION 7 RD, Clarington, Ontario",3,2
549900,8,"6 LIBERTY ST S, Clarington, Ontario",3,1
849900,8,"38 FOXHUNT TR, Clarington, Ontario",4,3
799999,8,"45 EDGERTON DR, Clarington, Ontario",3,3
999900,8,"10 HENRY SMITH AVE, Clarington, Ontario",4,3
1900000,8,"22 BICE CRT, Clarington, Ontario",3,3
1499990,8,"134 AUBURN CRT, Clarington, Ontario",4,4
699000,8,"30 KINGSVIEW CRT, Clarington, Ontario",3,4
1099999,8,"266 KENNETH COLE DR, Clarington, Ontario",4,4
799000,8,"71 FRY CRES, Clarington, Ontario",3,3
1779900,8,"92 PERRY AVE, Clarington, Ontario",4,3
849900,8,"30 CAREY LANE, Clarington, Ontario",3,3
1000000,8,"4020 WALSH RD, Clarington, Ontario",3,3
899900,8,"71 CROWS NEST LANE, Clarington, Ontario",3,3
1699990,8,"LOT 2 COURVIER CRES, Clarington, Ontario",4,4
899900,8,"21 AUBURN LANE, Clarington, Ontario",4,3
999900,8,"1 GIMBLETT ST, Clarington, Ontario",2,3
1100000,8,"29 PINEDALE CRES, Clarington, Ontario",4,4
1299000,8,"262 KENNETH COLE DR, Clarington, Ontario",4,4
999900,8,"267 SWINDELLS ST, Clarington, Ontario",3,4
899900,8,"3958 HIGHWAY 2, Clarington, Ontario",3,1
795900,8,"132 HIGH ST, Clarington, Ontario",3,2
1150000,8,"34 CLARINGTON BLVD, Clarington, Ontario",3,3
2499900,8,"3620 OLD SCUGOG RD, Clarington, Ontario",5,4
